"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipModuleLoadData","97","478933942","4937463","64.0568764741684"
"hipModuleGetFunction","32","91852887","2870402","12.2852204038501"
"hipModuleLoad","4","65420012","16355003","8.74985308020331"
"hipModuleUnload","101","52432916","519137","7.01284358625067"
"hipLaunchKernel","7","27917859","3988265","3.73398226469038"
"hipMalloc","12","26877558","2239796","3.59484317512267"
"hipDeviceSynchronize","2","2476813","1238406","0.331270955088446"
"hipEventSynchronize","1","638846","638846","0.0854449345083515"
"hipMemcpyWithStream","1","536985","536985","0.0718211402387541"
"hipHostMalloc","1","353623","353623","0.0472966788171903"
"hipFree","1","56630","56630","0.00757419885419638"
"hipExtModuleLaunchKernel","3","36101","12033","0.00482846817650262"
"hipEventRecord","2","33831","16915","0.00452485822772943"
"hipGetDevice","126","25311","200","0.00338531780325913"
"hipGetDeviceProperties","11","19080","1734","0.00255192855620814"
"hipSetDevice","33","7900","239","0.00105661612128115"
"hipStreamIsCapturing","13","6920","532","0.000925542222691841"
"hipDevicePrimaryCtxGetState","8","5950","743","0.00079580581286365"
"hipEventDestroy","2","5330","2665","0.000712881509674496"
"hipMemsetAsync","1","5180","5180","0.000692819178257766"
"hipGetDeviceProperties_v2","2","4740","2370","0.000633969672768689"
"__hipPopCallConfiguration","7","3710","530","0.000496208330373805"
"hipGetLastError","16","3270","204","0.000437358824884728"
"__hipPushCallConfiguration","7","3160","451","0.000422646448512459"
"hipEventCreateWithFlags","2","2530","1265","0.000338384656562191"
"hipGetDeviceCount","6","2420","403","0.000323672280189921"
"hipEventQuery","2","1810","905","0.000242085465761883"
"hipDeviceGetAttribute","2","1810","905","0.000242085465761883"
"hipEventElapsedTime","1","1700","1700","0.000227373089389614"
"hipStreamGetCaptureInfo","1","580","580","7.75743481446919e-05"
"hipDeviceGetStreamPriorityRange","1","430","430","5.75120167279612e-05"
"Total","505","747669834","1480534","100.0"
